site;depth;avg.bd;pct.n;pct.n.bd;pct.c;pct.c.bd;c.n;avg.m;taxa
160D;1;0.471;0.552;0.26;8.226;3.877;14.912;63.608;Picea_ab
160D;2;0.895;0.24;0.215;3.866;3.462;16.095;30.661;Picea_ab
160D;3;0.935;0.156;0.146;2.753;2.575;17.675;28.919;Picea_ab
160D;4;0.909;0.135;0.122;2.325;2.114;17.283;27.959;Picea_ab
160L1;1;0.851;0.298;0.254;3.948;3.359;13.245;29.032;Fagus
160L1;2;0.829;0.202;0.168;2.151;1.784;10.636;46.375;Fagus
160L1;3;1.059;0.157;0.166;2.589;2.743;16.516;19.802;Fagus
160L1;4;0.86;0.103;0.088;1.768;1.521;17.192;18.315;Fagus
130 E1;1;0.672;0.63;0.424;8.661;5.821;13.737;73.167;Picea_ab
130 E1;2;0.987;0.229;0.226;3.522;3.476;15.392;39.249;Picea_ab
130 E1;3;1.103;0.163;0.18;2.711;2.99;16.638;31.893;Picea_ab
130 E1;4;0.942;0.14;0.132;2.356;2.22;16.86;29.355;Picea_ab
158J1;1;0.683;0.571;0.39;8.369;5.712;14.644;43.969;Picea_ab
158J1;2;0.979;0.225;0.22;3.563;3.487;15.827;23.72;Picea_ab
158J1;3;0.971;0.154;0.149;2.56;2.486;16.65;36.144;Picea_ab
158J1;4;0.851;0.097;0.082;1.086;0.925;11.209;25.111;Picea_ab
159P;1;0.66;0.382;0.252;5.233;3.456;13.712;51.137;Picea_ab
159P;2;1.026;0.234;0.24;3.566;3.659;15.25;23.419;Picea_ab
159P;3;0.985;0.147;0.145;2.57;2.532;17.425;25.58;Picea_ab
159P;4;0.851;0.147;0.125;2.687;2.288;18.228;25.803;Picea_ab
