Location;Depth;AvgBD;AvgM;Species;TN;TC ;C:N
134X;2;0.690676918;26.80027594;Fagus;0.223361169;3.448675852;15.43990779
134X;3;0.598408017;24.09709236;Fagus;0.166825442;2.794609952;16.7517012
134X;4;1.074848559;19.32659159;Fagus;0.123941154;2.176342216;17.55947996
135J;1;0.263727485;33.79360082;Acer;0.423126619;5.440749334;12.85844258
135J;2;0.646805392;27.78409559;Acer;na;na;na
135J;3;0.653194671;23.27026212;Acer;0.166825442;2.794609952;16.7517012
135J;4;0.866337974;23.94492717;Acer;0.148085533;2.503283764;16.90431007
156Q;1;0.202011277;44.67691657;Picea_sit;0.588843268;8.097780592;13.75201353
156Q;2;31.96231319;31.96231319;Picea_sit;0.241635066;3.436138198;14.22036233
156Q;3;0.971159849;19.06405831;Picea_sit;0.152127175;2.432798067;15.99187035
156Q;4;1.105101852;28.27480282;Picea_sit;0.138321347;2.311831757;16.71348494
157L;1;0.232617848;52.21770569;Quercus;0.619888548;8.24140279;13.29497507
157L;2;0.70640992;28.82662022;Quercus;0.223810716;3.295878031;14.72618507
157L;3;0.722184768;25.41062081;Quercus;0.158087143;2.554551586;16.1591356
157L;4;0.904995043;30.97161647;Quercus;0.150537087;2.417709918;16.06055996
157M;1;0.157434068;37.57739471;Picea_ab;0.46195964;6.925303269;14.99114352
157M;2;0.648040565;23.91486192;Picea_ab;na;na;na
157M;3;0.654802787;22.84181847;Picea_ab;0.178282853;3.129212678;17.55195534
157M;4;0.84631732;26.85050476;Picea_ab;0.150596623;2.560611407;17.00311306
158G;1;0.240085441;51.80687197;Quercus;0.513065664;7.400181969;14.42345979
158G;2;0.686561913;32.29188558;Quercus;0.221818002;3.39274581;15.29517795
158G;3;0.696792931;25.68917938;Quercus;0.160179251;2.732079837;17.05639039
158G;4;0.981179776;25.72385593;Quercus;0.132161822;2.283962131;17.28155752
158N;1;0.180697219;43.49291401;Fraxinus;0.613782946;6.977718677;11.36838149
158N;2;0.633421974;28.6608123;Fraxinus;0.223129684;3.079063376;13.79943415
158N;3;0.664145522;27.03275248;Fraxinus;0.172163472;2.818420357;16.37060593
158N;4;0.752637836;57.47700759;Fraxinus;0.158996586;2.646004615;16.64189576
159L;1;0.250769914;42.77640332;Fraxinus;0.539219714;6.438701278;11.94077501
159L;2;1.023363812;25.86526674;Fraxinus;0.207986977;3.139304163;15.09375353
159L;3;1.010137363;24.97889637;Fraxinus;0.142211653;2.564946767;18.03612229
159L;4;0.975211333;26.000319;Fraxinus;0.136803223;2.23316653;16.32393212
159N;1;0.309055659;55.81277214;Acer;0.41054125;5.70823253;13.90416316
159N;2;0.845024384;30.32806072;Acer;0.188687191;3.014129037;15.97421115
159N;3;0.930328831;27.50798949;Acer;0.145350607;2.36838573;16.29429545
159N;4;0.913346716;20.59415429;Acer;0.144954456;2.592737027;17.88656309
160D;1;0.104124086;63.60836723;Picea_ab;0.551596026;8.225638378;14.91243226
160D;2;0.60070712;30.66134009;Picea_ab;0.240194908;3.866013831;16.09531969
160D;3;0.659050273;28.91916718;Picea_ab;0.155762504;2.753129739;17.67517644
160D;4;0.889589391;27.95941113;Picea_ab;0.134524944;2.32503316;17.28328658
160L1;1;0.259817505;29.0323409;Fagus;0.298070073;3.947827154;13.24462772
160L1;2;0.539399097;46.37484232;Fagus;0.202278603;2.151362884;10.63564241
160L1;3;0.772868693;19.80232507;Fagus;0.156778182;2.5892922;16.51564117
160L1;4;0.714693584;18.31461123;Fagus;0.102835752;1.767911813;17.19160674
130E1;1;0.219791968;73.16666667;Picea_ab;0.630498777;8.661298745;13.73721736
130E1;2;0.762541919;39.24929749;Picea_ab;0.228831709;3.522244393;15.39229158
130E1;3;0.8798637;31.89272446;Picea_ab;0.162937139;2.710944481;16.63797764
130E1;4;0.963088659;29.35540854;Picea_ab;0.139734498;2.355951239;16.86019759
158J;1;0.192983773;43.96861926;Picea_ab;0.57147338;8.3686974;14.64407214
158J;2;0.670073859;23.72023652;Picea_ab;0.22510949;3.562900527;15.82741149
158J;3;0.60405933;36.14383753;Picea_ab;0.153728394;2.55958157;16.65002479
158J1;4;0.764609731;25.11134586;Picea_ab;0.09689655;1.086152136;11.2093995
159P;1;0.183668955;51.13680516;Picea_ab;0.381645279;5.233023882;13.71174796
159P;2;0.741306101;23.41911388;Picea_ab;0.233816874;3.565622559;15.24963746
159P;3;0.686669852;25.58028451;Picea_ab;0.147484756;2.569947936;17.4251767
159P;4;0.735760184;25.80261593;Picea_ab;0.147406588;2.686889684;18.22774486
