"","k.star.lme","k.star.mcmc","se.lme","se.mcmc"
"Abies_alba",-0.105956580724555,-0.0768757130150697,0.36181797644877,0.359427873951991
"Abies_amabilis",-0.0318712629906532,-0.0689066482410717,0.506037810038734,0.524586326762349
"Abies_concolor",-0.104469238043893,-0.145182582422288,0.500107462911578,0.494156139428061
"Abies_grandis",0.794193785413975,0.780738252505455,0.392960478981509,0.387922408005532
"Abies_lasiocarpa",0.682493143967658,0.659547098523873,0.439614752575076,0.45521503874897
"Abies_pindrow",0.7178157883798,0.70533794761058,0.506037810038739,0.514889001015938
"Abies_spectabilis",-0.119193314805287,-0.145135346527847,0.506037810038741,0.521060000307529
"Abies_veitchii",0.424059324977424,0.399451706196582,0.50603781003874,0.495437718999067
"Acacia_aneura",1.61968744234332,1.56461143888666,0.708732004097991,0.717145581934541
"Acacia_aroma",2.12871427833549,2.10795001367434,0.513269368925242,0.515102725365621
"Acacia_caven",1.60676288755732,1.59920545663834,0.448476436992172,0.45946735049417
"Acacia_dealbata",0.979426679205522,0.960804191887254,0.44536255088696,0.452673938959213
"Acacia_doratoxylon",0.811366756469423,0.804849567535124,0.466157062491834,0.465301868969629
"Acacia_havilandiorum",0.551830109648202,0.552408718741604,0.466157062491837,0.468373818418963
"Acacia_koa",-0.27233843809482,-0.26219086870156,0.536010387442627,0.527448218260758
"Acacia_mearnsii",1.18120990258625,1.13031414516465,0.49797434705591,0.49972841874382
"Acacia_pravissima",0.999789364161242,0.958244799154624,0.497974347055907,0.503619727384363
"Acacia_saligna",1.35175723919361,1.33692522250941,0.503506824701592,0.504187650161516
"Acacia_sp",1.09975434829429,1.08633860670248,0.497974347055914,0.495232840190987
"Acalypha_communis",2.62071089216515,2.60329846470898,0.405851995273416,0.412449801395516
"Acanthostyles_buniifolius",1.32971566714641,1.32400796852089,0.451926720929017,0.465290973208194
"Acer_campestre",1.16218350165872,1.13841530880607,0.392648584290989,0.396387270620293
"Acer_glabrum",1.05825467072622,1.0483316460036,0.500107462911565,0.501060338182484
"Acer_negundo",1.70692143147414,1.68327105457424,0.411527374724614,0.412534853176375
